Winner,First Dragon,First Inhibitor,First Rift Herald,First Baron Nashor,First Tower,Barons,Dragons,Vision Score,Towers Taken,Time of CC Dealt,Kills,Assists,Deaths,Creep Score,Gold
True,False,True,False,True,True,3,1,249,10,112,37,60,29,533,69659
False,False,True,False,True,True,3,1,238,10,100,27,45,36,860,64635
True,True,False,True,False,False,0,3,102,5,85,15,27,11,427,35927
False,True,False,True,False,False,0,3,70,5,30,7,9,14,507,29822
True,False,False,False,True,False,2,0,146,8,117,27,48,27,497,50844
False,False,False,False,True,False,2,0,136,8,99,30,52,27,426,48994
True,True,True,True,False,True,0,1,37,6,20,7,2,4,195,19961
False,True,True,True,False,True,0,1,12,6,10,4,3,9,167,14438
True,True,True,False,True,True,1,4,146,8,148,41,69,25,472,54234
False,True,True,False,True,True,1,4,154,8,95,27,48,39,494,48939
True,True,False,True,False,True,0,1,57,3,39,24,22,8,397,32098
False,True,False,True,False,True,0,1,57,3,40,10,16,20,335,23498
True,False,False,False,False,True,0,1,65,3,46,15,23,7,421,28290
False,False,False,False,False,True,0,1,54,3,26,11,8,19,268,23806
True,True,True,True,True,True,1,3,96,9,66,26,35,12,506,42919
False,True,True,True,True,True,1,3,100,9,89,10,14,29,528,31276
True,True,True,True,False,True,0,2,88,10,50,23,48,6,338,36190
False,True,True,True,False,True,0,2,35,10,33,6,5,29,387,25675
True,True,True,True,False,True,0,4,90,7,94,17,38,15,378,37835
False,True,True,True,False,True,0,4,101,7,146,10,24,22,375,32038
True,True,False,False,False,False,0,2,63,1,27,10,14,3,242,22104
False,True,False,False,False,False,0,2,49,1,26,2,2,10,228,18994
False,False,False,False,False,False,0,1,145,3,71,20,36,24,443,42327
True,False,False,False,False,False,0,1,139,3,77,25,50,20,555,49710
False,False,False,True,False,False,0,0,139,3,93,16,35,29,376,38008
True,False,False,True,False,False,0,0,121,3,108,29,45,20,419,47096
False,False,False,False,False,False,0,0,146,2,60,14,24,19,451,36779
True,False,False,False,False,False,0,0,141,2,68,15,34,18,443,43139
True,True,True,True,False,True,0,1,52,7,27,9,23,1,248,25431
False,True,True,True,False,True,0,1,41,7,31,0,3,10,211,16479
False,True,False,False,False,False,0,1,113,2,50,11,23,18,373,30944
True,True,False,False,False,False,0,1,126,2,46,19,32,11,466,41726
True,True,False,False,True,False,2,5,256,11,179,30,67,38,875,75975
False,True,False,False,True,False,2,5,154,11,142,46,49,30,933,80524
False,False,False,False,False,False,0,0,75,0,74,12,13,25,395,29470
True,False,False,False,False,False,0,0,70,0,82,33,31,13,529,43208
True,False,True,True,False,True,0,0,23,7,42,16,10,5,301,25091
False,False,True,True,False,True,0,0,26,7,17,2,3,15,154,13640
True,True,False,True,False,True,0,1,58,3,24,16,16,6,296,27592
False,True,False,True,False,True,0,1,29,3,33,7,5,15,255,20521
True,True,True,True,True,True,2,3,224,11,93,39,55,30,612,69223
False,True,True,True,True,True,2,3,170,11,112,33,51,36,719,61226
True,False,False,False,False,True,0,1,57,3,37,21,32,11,215,28208
False,False,False,False,False,True,0,1,47,3,47,12,10,18,270,22501
False,False,False,True,False,False,0,0,92,1,50,12,18,27,354,32342
True,False,False,True,False,False,0,0,103,1,58,31,33,10,553,46045
False,False,False,True,False,False,0,0,95,2,33,4,10,21,598,35524
True,False,False,True,False,False,0,0,137,2,41,22,35,4,399,42046
False,True,True,True,False,False,1,5,225,8,113,34,37,32,580,62582
True,True,True,True,False,False,1,5,116,8,90,37,39,29,851,63646
True,False,True,False,True,True,1,2,99,10,128,25,45,20,641,48008
False,False,True,False,True,True,1,2,90,10,57,24,39,24,619,45785
True,True,False,True,False,True,0,1,54,2,33,11,13,3,231,23134
False,True,False,True,False,True,0,1,42,2,32,2,3,10,203,16152
False,False,False,False,False,False,0,0,125,1,104,14,23,23,512,40379
True,False,False,False,False,False,0,0,132,1,117,17,55,13,436,43985
True,True,True,True,False,True,0,1,34,7,29,11,18,5,232,23204
False,True,True,True,False,True,0,1,20,7,24,4,7,10,103,12555
False,False,False,True,True,False,1,1,116,4,66,20,31,30,401,44745
True,False,False,True,True,False,1,1,104,4,167,31,54,23,580,51956
False,False,False,False,False,False,0,2,109,2,91,20,26,26,641,47501
True,False,False,False,False,False,0,2,135,2,91,21,49,20,469,45814
True,False,True,False,False,True,0,0,52,9,79,14,31,3,308,33191
False,False,True,False,False,True,0,0,49,9,47,3,7,21,427,25388
False,False,False,False,False,False,0,0,79,0,68,8,15,26,308,27647
True,False,False,False,False,False,0,0,91,0,60,14,37,9,393,35963
False,False,False,False,False,False,0,0,105,1,104,18,27,24,542,44216
True,False,False,False,False,False,0,0,197,1,81,27,34,15,586,53781
False,False,False,False,False,False,0,0,103,4,88,15,31,24,433,36189
True,False,False,False,False,False,0,0,107,4,79,18,27,16,396,42435
False,True,False,False,False,True,0,2,79,1,112,22,43,41,341,37027
True,True,False,False,False,True,0,2,117,1,114,35,74,20,381,50970
True,False,True,False,True,True,1,3,109,10,84,23,65,19,509,45947
False,False,True,False,True,True,1,3,103,10,93,22,40,36,420,40192
True,True,True,False,False,True,0,4,118,8,108,40,50,23,354,45062
False,True,True,False,False,True,0,4,63,8,88,20,29,37,456,39414
True,False,False,True,True,True,1,0,85,4,93,30,39,22,540,48170
False,False,False,True,True,True,1,0,108,4,100,24,32,23,598,42715
False,False,False,True,False,False,0,0,106,1,105,14,26,24,446,36451
True,False,False,True,False,False,0,0,126,1,111,23,42,12,392,47150
True,True,True,True,False,True,0,3,117,9,51,16,28,14,467,42208
False,True,True,True,False,True,0,3,90,9,80,14,31,17,576,41420
False,False,False,True,False,False,0,0,84,0,53,14,20,25,310,31743
True,False,False,True,False,False,0,0,121,0,46,25,33,11,381,39814
False,False,False,False,False,False,0,0,33,0,31,7,8,11,363,22737
True,False,False,False,False,False,0,0,47,0,32,12,15,8,372,26693
False,False,False,False,False,False,0,0,98,0,47,8,18,26,344,31583
True,False,False,False,False,False,0,0,115,0,60,27,41,10,420,41862
False,False,False,True,False,False,0,1,160,3,108,18,47,30,355,42923
True,False,False,True,False,False,0,1,153,3,90,22,39,27,673,56223
False,False,False,False,False,False,0,0,48,0,26,8,6,18,484,27935
True,False,False,False,False,False,0,0,100,0,90,18,34,10,363,35778
True,False,True,False,True,True,2,2,198,10,85,41,79,31,665,65048
False,False,True,False,True,True,2,2,187,10,157,29,56,46,415,52814
True,True,True,True,True,True,1,2,82,7,39,24,32,15,506,41101
False,True,True,True,True,True,1,2,83,7,45,10,15,20,475,30549
False,False,False,False,False,False,0,0,119,2,41,5,15,29,467,32368
True,False,False,False,False,False,0,0,144,2,101,26,34,10,402,44402
True,True,True,True,False,True,0,2,71,5,26,22,26,13,435,34558
False,True,True,True,False,True,0,2,68,5,67,13,18,23,306,26980
True,False,False,False,False,False,0,0,1,0,0,0,0,0,27,3911
False,False,False,False,False,False,0,0,0,0,4,0,0,0,27,3206
False,False,False,True,False,False,0,2,163,2,73,11,22,17,399,35819
True,False,False,True,False,False,0,2,157,2,115,20,51,11,469,45917
False,False,False,False,False,False,0,0,57,0,61,8,18,20,267,23817
True,False,False,False,False,False,0,0,87,0,53,23,37,9,448,37598
True,True,True,True,True,True,3,4,234,9,149,34,48,26,588,64525
False,True,True,True,True,True,3,4,183,9,147,23,47,31,796,54407
True,False,True,False,False,False,0,2,130,6,83,20,42,12,391,37844
False,False,True,False,False,False,0,2,88,6,110,15,16,22,397,34313
True,True,True,True,True,True,1,4,122,6,71,28,42,23,475,48322
False,True,True,True,True,True,1,4,112,6,94,18,38,22,576,42943
True,True,True,True,False,True,0,3,93,10,59,25,46,23,320,40326
False,True,True,True,False,True,0,3,80,10,92,20,28,38,260,32661
True,False,True,True,False,True,0,2,79,10,105,29,40,11,306,38144
False,False,True,True,False,True,0,2,60,10,43,10,18,24,224,23635
True,True,True,True,False,True,0,2,51,9,39,28,23,7,413,37990
False,True,True,True,False,True,0,2,53,9,47,9,11,24,251,23444
True,False,True,False,True,False,1,2,90,5,58,20,31,10,504,37414
False,False,True,False,True,False,1,2,70,5,55,10,16,25,265,27443
False,False,False,True,False,False,0,0,115,1,96,25,32,18,403,38340
True,False,False,True,False,False,0,0,153,1,100,18,24,25,385,41429
False,True,False,False,False,False,0,2,118,1,211,19,30,23,400,36964
True,True,False,False,False,False,0,2,98,1,68,29,37,18,542,47569
False,False,False,False,False,False,0,1,83,1,80,25,36,18,604,45517
True,False,False,False,False,False,0,1,142,1,108,17,33,19,663,47959
True,False,True,False,True,True,1,2,114,7,195,37,51,21,566,52753
False,False,True,False,True,True,1,2,130,7,92,24,32,31,449,42982
True,False,True,False,True,False,2,4,148,9,42,28,33,29,788,68024
False,False,True,False,True,False,2,4,233,9,116,34,42,19,608,62487
False,False,False,False,False,False,0,0,108,1,96,12,19,31,362,33165
True,False,False,False,False,False,0,0,112,1,41,28,33,9,378,45265
False,False,False,False,False,False,0,0,111,2,74,17,28,31,414,38639
True,False,False,False,False,False,0,0,94,2,56,27,35,22,439,48150
True,True,True,False,False,True,1,2,184,9,72,25,46,22,548,57897
False,True,True,False,False,True,1,2,193,9,84,22,36,28,622,56128
False,True,False,False,False,False,0,1,122,2,107,15,41,32,397,38097
True,True,False,False,False,False,0,1,106,2,116,27,42,18,430,46168
True,True,True,True,True,True,2,3,146,11,98,31,40,19,508,55399
False,True,True,True,True,True,2,3,124,11,73,20,26,33,511,46248
False,False,False,False,False,False,0,0,102,0,80,14,23,26,474,35999
True,False,False,False,False,False,0,0,119,0,98,28,49,18,692,51034
True,True,False,True,False,True,0,3,102,7,62,19,29,11,346,34769
False,True,False,True,False,True,0,3,84,7,59,11,7,22,309,27513
False,True,True,True,True,False,1,3,154,6,104,22,47,23,382,45532
True,True,True,True,True,False,1,3,179,6,159,21,57,21,498,44731
True,False,True,True,True,True,1,2,120,7,51,17,25,10,436,35469
False,False,True,True,True,True,1,2,94,7,69,10,12,21,416,31211
False,False,False,True,False,False,0,0,110,1,52,9,13,24,571,33486
True,False,False,True,False,False,0,0,126,1,67,20,32,10,435,42398
True,True,True,False,True,False,2,3,142,11,61,31,51,17,454,51591
False,True,True,False,True,False,2,3,124,11,99,17,24,33,408,40061
True,True,True,False,True,True,1,4,124,11,74,26,46,13,589,47394
False,True,True,False,True,True,1,4,104,11,74,17,30,25,413,38875
False,True,False,True,False,False,0,2,78,2,64,22,20,19,512,38385
True,True,False,True,False,False,0,2,96,2,33,19,28,17,547,43701
True,False,True,True,True,True,1,2,105,6,58,23,25,11,558,39491
False,False,True,True,True,True,1,2,103,6,40,10,21,20,484,30554
False,True,False,False,False,True,0,4,187,5,104,34,31,32,589,61350
True,True,False,False,False,True,0,4,174,5,107,35,50,34,612,68064
False,False,False,True,False,False,0,0,93,1,50,11,17,23,549,34000
True,False,False,True,False,False,0,0,126,1,74,25,32,11,431,44466
False,False,False,False,False,False,0,0,42,0,28,4,3,14,251,18707
True,False,False,False,False,False,0,0,74,0,54,12,17,4,255,26592
False,False,False,False,False,False,0,0,73,0,43,7,12,24,371,23256
True,False,False,False,False,False,0,0,55,0,28,26,30,8,407,36015
True,False,True,False,False,True,0,1,86,7,43,25,28,19,309,37012
False,False,True,False,False,True,0,1,93,7,62,18,15,19,332,30460
True,True,True,True,True,False,1,3,110,9,69,30,39,18,604,48419
False,True,True,True,True,False,1,3,91,9,63,16,30,27,368,35390
True,False,True,True,False,True,0,1,111,8,53,22,31,12,584,45121
False,False,True,True,False,True,0,1,83,8,41,15,15,21,548,40246
False,True,False,False,False,True,0,1,107,3,46,10,14,16,410,36060
True,True,False,False,False,True,0,1,156,3,55,16,18,12,636,43537
True,True,True,True,True,True,1,3,151,10,44,18,24,7,424,42768
False,True,True,True,True,True,1,3,123,10,53,9,11,17,461,34662
True,True,True,True,True,True,1,3,84,11,72,22,37,15,386,42141
False,True,True,True,True,True,1,3,54,11,52,17,18,21,571,40701
False,False,True,False,True,False,1,2,118,7,139,24,65,23,496,51074
True,False,True,False,True,False,1,2,148,7,134,23,53,27,672,53094
True,True,True,False,True,True,1,2,149,11,78,17,31,18,455,45256
False,True,True,False,True,True,1,2,102,11,114,16,24,21,378,36853
False,True,False,True,False,True,0,2,92,3,45,11,9,24,393,33672
True,True,False,True,False,True,0,2,85,3,77,22,46,12,387,39733
True,True,True,True,True,True,1,3,118,10,46,21,26,10,468,43769
False,True,True,True,True,True,1,3,84,10,66,13,13,24,403,32955
True,True,False,False,False,True,0,2,40,3,37,21,15,4,342,29097
False,True,False,False,False,True,0,2,42,3,32,6,9,23,210,19618
False,True,False,False,False,False,0,2,76,2,50,19,23,34,544,39335
True,True,False,False,False,False,0,2,137,2,63,33,41,21,412,46767
False,False,False,False,False,True,0,2,156,3,68,26,41,23,425,43996
True,False,False,False,False,True,0,2,143,3,107,24,41,29,445,49657
True,False,True,True,False,True,0,2,84,9,60,27,20,8,415,39574
